,title,author,content
Vietnam Ghost Story: Đà Lạt Lovers,Hoa Nguyen,"A student at the military school  1956
and a literary teacher at the nearby high school
fall in love       Cute:

each day after school the military student left
a love letter on her door   Thao (an orphan)
wrote back and left a love letter reply on the door
of her small house on the hill

Their love grew like a stack of letters

They were in love and waited
for Thahn to graduate from military school
before living as a couple    officially

Unlike Thao  Thahn is from wealth
and his rich parents insist that
upon graduation  he return home
to the Delta   and marry a local girl of their choosing

Unable to defy them   he does

Thao  devastated  jumps into a lake
drowns  leaves a letter
with instructions to bury her body
near her house and the memories
of her love for Thahn
on the love letter hill

Thahn finds out about her death
goes to war is   killed
and then buried in Đà Lạt
next to his beloved Thao
on the hill   per his written wishes

But
the widow  spurned in death
won't leave it at this

She instructs that his body be removed
and taken back home to the Delta

What a terrible
idea

and now his ghost wanders

Actually
both sites are haunted by their ghosts


and Đà Lạt made the site on the hill
into an attraction you can visit
because why not"
I Am Bound for de Kingdom,Marlanda Dekine,"My granddaddy Silas was born on the Nightingale plantation
in Plantersville, South Carolina, on riverbanks that loved
three generations of my kin, captured
in a green-tinted photograph, hanging in my daddy’s den.

Tonight, my eyes will take each old-world bird from the cropped space,
send them home with their songs and favorite foods.

Look out for me I’m a-coming too

with rice, okra, hard-boiled eggs, and Lord Calvert.

My daddy says if I get out of my car on Nightingale land,
the folks who own it might shoot. My daddy says,
“Never leave the driveway.”

Glory into my soul

I watch all of my ascendants. Their faces reflecting me
in that photograph. Their eyes are dead
black-eyed Susans."
Elegy with Steam,William Fargason,"When I was sick with a head cold, my head
full of pressure, my father would soak a washcloth
in hot water, then ball it up, wring it out. He would
open it above my head, then place it against

my face like a second skin, the light around me
disappearing entirely except through the spaces
between the stitching. I would inhale the steam
in that darkness, hearing his voice on the other side,

otherwise almost devoid of any other bodily sense
but the warmth and depth of his voice, as if
I had already died and was on the other side
of life waiting for the sickness to lift, but I wasn’t.

I was still on this earth, the washcloth going cold
on my face, my body still sick, and my father still
there when I opened my eyes, as he always was,
there to give me warmth before going cold again."
37 El mundo,Esteban Rodríguez,"Even in dreams, your father is working,

and in the version you’d been having for weeks,

he lifts a large replica of the world, places it

on his back, and because his body here defies

logic and physics, carries it up a hill, which,

after you wake up, you know is a metaphor

for twelve-hour shifts, for pounding nails

into wood, for sliding steel into slots again

and again, and for the days when his back

is shaped into a crooked punctuation,

and his feet, marking the floor into a hieroglyph,

have lost more of their purpose, becoming quiet

when he gets home, so that all you see of him

is not comparisons to language, but two

swollen limbs, a body reclined on a La-Z-Boy,

a father relieved to call this silence his own."
The Mystery,Margaret Steele Anderson,"This is your cup—the cup assigned to you
From the beginning. Nay, my child, I know
How much of that dark drink is your own brew
Of fault and passion. Ages long ago—
In the deep years of yesterday,—I knew.

This is your road—a painful road and drear.
I made the stones—that never give you rest;
I set your friend in pleasant ways and clear,
And he shall come, like you, unto my breast;
But you—my weary child!—must travel here.

This is your task. It has no joy nor grace.
But is not meant for any other hand,
And in my universe hath measured place.
Take it; I do not bid you understand;
I bid you close your eyes—to see my face."
杨柳枝词,Bai Juyi,"一树春风千万枝，嫩于金色软于丝。
永丰西角荒园里，尽日无人属阿谁 ?"
1855,Beth Piatote,"I celebrate myself
And what I hereby cede you shall hereby cede,
For the country relinquished by me as good is relinquished by you

I loafe and convey to the United States
All the right, title and interest ... in my country, occupied and claimed,
I give and grieve ... meeting on spears of summer grass


I celebrate myself
And what I hold in reserve for my exclusive right and occupation
Shall be available from time to time
to the President, at his discretion, to be surveyed into lots

I acknowledge my dependence and promise to be friendly
I pledge and agree ... not to shelter or conceal offenders
but to deliver them up to the authorities for trial


I celebrate my miyó·x̣at
Who bore losses that we would not bear,
For nú·nim waq’í·swit that is nú·nim tito·qaná·wit
kúnk’u

I hold and cherish Article III
I protect and love our usual and accustomed places, our exclusive right
to take fish, to hunt, to gather roots and berries,
and pasture our horses on open land


I celebrate nú·nim wé·tes, our land:
Ka nú·nim wé·tes hí·wes nú·nim wé·tes kúnk’u
And our land is our land forever

I love and enlarge my soul
’ené·setwíse ’i·nim titó·qan, wax̣ nú·nim wé·tes; timí·pn’ise Wai·latpu
I love my people, and our land; I remember the Place of Rye Grass

We are one with our land
And our land is our ancestors’ land, always
All the land they are lighting, the land is shining bright
forever

nú·n wisí·x ku’stí·te nú·nim wé·tes
ka· nú·nim wé·tes hí·wes nú·nim ’anoqónmanm wé·tes, kúnk’u
hi’laká’wisix la’ámna wé· tesne, wé·tes hi’laká’wisa
kúnk’u"
34°54’15’’ N 111°47’30’’ W,Micaela Merryman,"red rock giants
holy in another life
gawked at in
hot pink jeeps
for $30 an hour.
\

\
25¢ to peer
into the eyes of the mountain                            \
through a
rusted       looking        glass.                                \

\

tourists stumble                                                                 \
over themselves to see their
faces in the forefront                                                                    \
(and ours:
the background).                                                             \
5,000 men strong
we watched as our brothers
lost their footing to
10,000 white intruders.
they now call it
Soldier Pass.
after the
ensanguined hand
of General Crook."
Bead Workers,Laura Da’,"Needles in skilled hands
pulled through cloth or skin
move of their own

gilded volition.

Taaniwe laakwa?

In Shawnee,
you ask
where in time

as opposed to when

and it helps me

consider folds of territory

tilled by memory and capacity
where the ones I tender
bloom quietly and eternally.

A strain of heirloom corn
roughly translates to the word

sustainer—worlds

that germinate inside such a word;

wild horses, lilting shadows,
glimpsed in the elbows of the hills

like opaque flags of prayer.

My distant kin in Neosho

folded deep indigo beans
into the palm of my hand

and said try them
where you stay.

Within the words of a blessing
in my husband’s language

I recognize through repetition—

The word for city.

The word for garden.

Like an heirloom seed,

I was sown and cultivated
back from the brink.

To rise within

a place in time,

hands sorted
hundreds of seeds;
medicine and sustenance—

pallid disks of immunosuppressants
and steroids.
Flint corn from the Scioto Valley.

All those moments
I shook too hard

to do it myself.

Running a finger

across the slight backs
of trade beads: cornflower blue,

grassgreen, the white-heart red
a fire-flood of sunset.

I feel the shadow
of my aunt’s beading

wringing my neck and wrists.

Spells to protect

my casing gates.

Cerrillos turquoise

threaded into my earlobes.

Intricate blueprints

to the homelands
kept my toes
from the sky ladder’s

sapphire rungs.

Sustainers are all around:

songs chanted
seven states away—glistening exhalations

of devotion and sacrifice,

migrations of breath.

Adorn the skin with glass.

In a place in time

the ground warms and opens—

the hour is right,

stitch a seed and it sustains."
before the dark,Adedayo Agarau,"the antelope’s rib cage, a bridge of  bones at the base of the anthill—
you are outside your father’s house that is outside the city that is
outside the country where a bullet dislodges an infant’s bone—the
owls are learning about the dunes of night, the terrain is full of
widowed birds searching the bark of trees for holes—boys your age
are somewhere afar, before a river waiting to lick them
of their salt—the throes mothers carry in the place you are from
are remembered by the number of  boys who fell off their backs before
they named them—before the dark, the sun is setting the sky on
fire—pink flames burning the clouds, a bird is crashing, the storm
coming carries the face of the people in your dreams where the
antelope elopes with a bullet inside its brain—where your mother
is singing a song the color of wane—the storm is coming & it is
bringing the dark with it—dust comes before the road is forgotten
before the green of august ashes into brown in november—the smell
of rain whets your nose—as you walk inside the house, hope swallows you."
butterfly man tells a story,Manny Loley,"near butterfly mountain
lived a medicine person
from the mountain
i come to know myself
he told me
from the mountain
my name was given to me
butterfly man
is how i am known
some men
laugh at my name
but that doesn’t bother me
my grandmother told me
never laugh at others
because the future is unknown
queer people are sacred
we must always remember
 Translated by the author from the Navajo"
Cada día más cerca del fin del mundo,Anthony Cody,
Cousin Wolf Sings,Ibe Liebenberg,"Her all-night melody blushes
like directions for new lovers
who are lost.

Last night all she held was a hum
that ran away.

She now stretches words in our broken-down car

somewhere on Valley View
between Orphaned Lane
and the dead end,

about hidden roads and streets
of homes for all the abandoned.

I study the map when she falls from crescendo.

Flashlight held by my teeth,
her voice needs
both hands to trace.

She leads me down paths disappearing
into blue lines holding
imaginary rivers,

blacking in thin creases
and folds or contoured lines.

She drones about the water. I find the blue again.
My hand pressed against
the faded shore."
Creation,Franklin K.R. Cline,"A bit packed
up here,
isn’t it? Let’s make the earth.

The beetle’s body shows the world
in ways words can’t.
The water ripples
in ways water can’t.

In the animal’s body
we find ourselves.

In the land, well,
that’s to be decided, ah eh?

There’s a terror in the spread of Dayunisi’s limbs,
in his strange face.
If I didn’t know any better, I’d think those contortions
were a symbol of fear, or confusion.

He’s moving north, and surrounded
(t)here, at the National Museum of the American Indian. We stop
to stare at our own making.

It gets lighter as you look up,
the blue moving north, too, from dark to
light."
Did You Walk to Oklahoma?,Dean Rader,"You came        You came         from
You came from your homes Your family         Your
rivers      creeks                                                       came
with you in your blood           in your songs
the hawks        flew         inside the wings of your          voice
your voice        walked like a            deer             across the
land     your land         was a      voice walking                deep
in your blood’s wings                   to the place    awaiting
its own birth          what is born is also made                 and what
is made is earned               built                  like history
a house                    mound              hall anything we walk into
a state             perhaps          a state of being            a state still
mired in its own making     making the dead        the dead
a trail                a walk of  bones            a song of singing skin
that lives through its dying               who has not lived with your death?
Who has not lived?               You                     in the dust of your hundred
deaths               your thousandsyour deaths are the constitution
of this country              this country                  this        state
of the union                               we say to your deaths that they are ours
they are hours               days                 years                 only now lived into
a legacy            we are learning now   to live into your legacy learning
what has a state learned?        What has a death driven us to?
Let us pray to your walking    Let us walk backward to your prayers
If you are a song let us sing you        Let the dead live
into the state               of our making"
Echolocations,Franklin K.R. Cline,"As I nametag through life on took land
I send out echolocations of confusion
and gratitude to anything

that can receive it
the big ladder
the little ditch

constellations
made from shifting satellites
named after the children of the wealthy

for birthday presents
chairs made for sitting unsat in
clouds move if you look

or not
there will be a point
at which boxes will hold every

thing you own some frog hops into a pond
and if you’re some combination of good lucky dead
you’ve got one hell of a hell underneath your

clothes there’s an endless story the little ladder
the big ditch
whichever you think is better is better"
Emergence,Manny Loley,"I call out for Water Woman, my mother
I call out for Earth Woman, my mother
I emerge from below the earth’s surface
I emerge from within sacred darkness
that cradles my mother Earth Woman’s heart
I emerge at the House-Made-of-Thought
I emerge at the House-Made-of-Language
I am home
I am home
 Translated by the author from the Navajo"
Emerging,Jake Skeets,"Act I:                            Níyol

Dah adii’ąągo dá’ák’ehgóó deeshwoł.


Act II:                          Chahałheeł

Once upon a time, { five-fingered being cold      air
sunrise } stepped into a sentence: Nizhónígo bi’éé’ holǫǫ
dooleeł. Éé’tsoh diłhiłgo yii’ doo’nah. They stepped
further into the words. There is water; łeets’aa’ nímazí
shee hólǫ. There is a meadow, a winter’s meadow,
gathering in a bright morning.


Act III:                         Dąąn

Shándíín;
Hootsoh ayóo bits’ą’dinídíín.
Saad ‘adííłhéelgo yiiłtsą.


Act IV:                          Shį

Bóhoosh’aah
I stand in the sun
with an empty bowl
meant for a river"
Endangered Ghazal with Telegram and Natural World,Jennifer Militello,"How many sidewalks with hardly a crack                                                                      stop
grasses in their tracks, how many reefs along wrecks                                                      stop

recovering once bleached. How many sadnesses indicate
true north. How many creatures dying back                                                                  stop

feeding and lie still. Water moving against
its reflection-skin, shifting a beached humpback.                                                           Stop-

signed old avenues exchange heaves. Freezing points
breathe and hurricanes crush and those with kickbacks                                                  stop

stopping it. Tornado sirens as light flecks mold-like along
the sill, as gull spines diamonded through the dark’s                                                       stop-

per. Who will save the wolf pack or the shark attack
from the megalomaniac or the smokestack.                                                                    Stop.

Nature was made to be ransacked.                                                                                  Stop
thinking of this as a setback.                                                                                           Stop
feeling like this is a rat trap or sidetrack or                                                                      stop-

gap, until everything including Jennifers grows scarce
and everyones are buried and the world doesn’t feel the lack.                                           Stop.
Bushwhack back through to common sense.


"
Examining the Phytolith,Valerie Wallace,"I saw the ghost of you
nestled within your particular,
who moved among thousands
of thousands of thousands of thousands
in the way that plainlands of grass hide a witness inside

When I first learned you existed
I was reminded how some of us contain
an unborn twin’s tooth in our lining
& this your being seemed to me,
though now I know you are more

a fragment of silica so small as to be particle,
bite of white thread,
caught in daguerreotype mid-wave,
not surrender, but depletion
& therefore, an age-old story

but also a kind of long undetectable,
arrived from a previous downplunge
& now, in ascent, decanting the very earth

I have not been taking what is needed
(becoming smaller, flatter)
I am astonished there is a thing that does only that
—devours—& its particular is unharmed

Little monument, you are
the modified & derived, consequent,
consequence, forgive
all these words; I am trying
to measure something like hereafter

How you remain
& elude—like dirt after rain, a speck of sweet bone,
the tumult of root & tangle, oh

cleft that is left, inspected
for form, for secrets, still
at the end, expelled
from dark & not
the dark"
Field Notes,Tim Tim Cheng,
Finding Home,Jayant Kashyap,"By the border, my passport sticks to my face
like a kiss,           or a slap.

There are women with children who look at me but won’t speak,
because speaking           means worrying,

and our world isn’t made of worrying.

It’s like bathing with cold water on a winter evening, it doesn’t matter
—you’re cold anyway;

or like loving someone on a hot summer afternoon.

They find their way through the border,
I find mine, trying not to recognize faces that might know         you.

For years now, I might not know myself without
looking through my bag;

I will learn to live with the desperate quiet of the morning sand,

and I will remember        your name       but not you."
Floaters,Arthur Sze,"Driving past a phalanx of white tombstones
along a south-facing slope,

I recall, “No one hates war like soldiers,”
from a mechanic replacing

an oil pump to a Fiat engine; then another floater
appears when I blink—

peach blossoms on flowing water go
into the distance—

and, as I ponder how a line written in 740
stays present tense—

a curved thrasher nests in a cleft of spined cholla—
a man, on ayahuasca,

types with his hands, and his hands disappear;
he types with his hands,

and his hands disappear—shimmer the words
as his hands disappear."
From the Roof Deck,Carol Moldaw,"From our temporary housing’s rooftop deck,
I watch seagulls court on the roof next door,
the male cawing, hopping, wings like exhaust flaps.
I’d never mistake him for a whooping crane,

but being amused is (almost) its own comfort.
From up here, I get how sharks can mistake
surfers bobbing upright on their streamlined boards
for seals, the black wetsuits glistening like pelts,

but to catch a glimpse of the 4th of  July fireworks
I have to drape myself around the chiminea
and list over the deck’s edge. The display starts
with the sun, sizzling and sparking as it sinks.

No holiday required for those pyrotechnics.
Or for my burst of waterworks, now air-dried."
Grandma’s Challenge,Tina Deschenie,"“T’áá aniigo bee yájíłti’ doo bee jiiná.”
To live what you speak,
this is something my grandmother practiced.
Shimásání yee ‘ayói ‘akóniįłee nit’ee.
She always said, “Take care of the land, it will always feed you.”
“Shá ałchíní nihi kéyah baa ‘ada’hołyá, nahasdzáán nihímá náha’ałtsó’.”

She passed on over 40 years ago, 97 years old.
My aunt found her lying in her cornfield where she had been hoeing.
She lived what she said.

She passed on over 40 years ago, 97 years old.
My aunt found her lying in her cornfield where she had been hoeing.
She lived what she said.

She passed on over 40 years ago, 97 years old.
My aunt found her lying in her cornfield where she had been hoeing.
She lived what she said.

She passed on over 40 years ago, 97 years old.
My aunt found her lying in her cornfield where she had been hoeing.
She lived what she said.

She always said, “Take care of the land, it will always feed you.”
“Shá ałchíní nihi kéyah baa ‘ada’hołyá, nahasdzáán nihímá náha’ałtsó’.”

She always said, “Take care of the land, it will always feed you.”
“Shá ałchíní nihi kéyah baa ‘ada’hołyá, nahasdzáán nihímá náha’ałtsó’.”

She always said, “Take care of the land, it will always feed you.”
“Shá ałchíní nihi kéyah baa ‘ada’hołyá, nahasdzáán nihímá náha’ałtsó’.”

She always said, “Take care of the land, it will always feed you.”
“Shá ałchíní nihi kéyah baa ‘ada’hołyá, nahasdzáán nihímá náha’ałtsó’.”

This is a challenge that my grandmother,
a woman of the Ta’neeszahnii clan, left me."
Grocery Story,Franklin K.R. Cline,"today i went to the grocery store
and bought several organic fruits

and vegetables so as to keep my health
tip-top i carried the little blue

cherokee card in my wallet
there was a good deal on seltzer

a song played
that reminded me of my ex-wife i paused and cried

by the frozen pizzas then put a frozen pizza
into my cart i walked around the store listening to the music

looking at the cans and stacks the weird
infinite finite nature of the grocery store it was sunny a woman softly

crying by the bread
i am never more alive

than when i am filling up my cart i walked more
and more through ever

-y aisle it came time to put
my things on the conveyor belt and have them

recorded with a satisfying beep then
pull out the small piece of plastic

with all my money on it and give it
to the nice lady who smiled

took my money i didn’t need to give
it to her i should have just walked out and not paid for anything

she gave me my card
back reminded me it needed

to slide into
the computer

which asked a few questions
a man put my things into a bag for me

i got into my car on the stolen land and
on the radio they were discussing

the Treaty
of New Echota"
Hasísná,Manny Loley,"Tóyisdzáán shimá dishníigo
Nahasdzáán shimá dishníigo
Ni’ bitł’ááhdęę hasísná
Nahasdzáán shimá bijéí
chahałheeł yee hadít’éego
biyidęę’ hasísná
Nitsáhákees bá hooghandęę’ hasísná
Saad bá hooghandęę’ hasísná
Hooghandi nán’sdzá
Hooghandi nán’sdzá


"
hastiin k’aalógii ’ání,Manny Loley,"dził k’aalógiigi
haataałii ła’ kééhat’įį
dził bits’ ąądęę’
shił ‘ééhózin
shidíínįįd
dził bits’ąądęę’
shizhi’ shila’k’éelyaa
hastiin k’aalógii
bee shaahodilzin
łahdah hastoi
shizhi’ ya’nidaalt’í’
nidi doo shi’diił’aadah
shimásání ’akó shidíínįįd,
diné doo baa jidlohda
náasdi doo ‘ééhózinda
nádleeh nahalinigii
diyin bee bi’dolzįį’
béédeelniihdoo"
"Hotbeds in Norfolk, Virginia",Ariana Benson,"It’s nothing to be woken by the hammering
racket of collapse. To bathe with tap-
drip the tint of hands’ sun sides. Life
among ruins means something is falling
at all times. Means knowing how long I have
to get out from under a spreading shadow.

Today, they flattened the house across the street
into memory—siding panels rotting like rinds
in the yard’s clovers and crabgrass. It’s constant,
the vinyl harvest: red, yellow, pink—all stripped
to the same blanched flesh. To make a space
more enticing, they say. But I was fed
on sweetness sprung up from dirt, and nobody
skins an apple they intend to candy.

O’Hara wrote, once, about Norfolk.
Said to have exercised here—blown
breath into air, here—is to have been to bed
with a Nigra and what a way to admit knowing
a place only by the way it looks from above,
when on top of it, moving in
and out of it at will.

Last week, they erased the turquoise house,
its kitchen where I learned not to play around
the hot stove, where I earned these scars,
the one my love grazes nightly with lips
brown like water, like mine.
It’s impossible to sleep alone
without the voices I know
better than my own.

Someone silenced the rocks
we used to kick down the blacktop, their scrapes
filling the gaps in conversation. Someone keeps
sticking the same pink slips between my locked door
and its frame. Someone sprayed the big weed
that planted itself in the fractured concrete
before we could even bend our tongues
to dub it   flower. Soon, all the wrong green
will be brought to wilt.

Truth is, there are many Norfolks full
of our deep hotbeds, our colorful plots. It’s nothing
to pass one while driving, to speed up at the first
sign of us: the rubbled lot of a First, or Second,
or Seventh Baptist Church, for instance—
the black dust of its crumbling
never allowed to settle. And so you roll
your windows up, tighten your hold
on your breath."
in new countries more eloquent than elsewhere,Hao Guang Tse,"surprised by ammonites

& other irrefutable
proofs of           humility                    on their heads

mtns of old
countries
skip                         like rams


if I am
neat

rams cannot stay here


the newness says so"
in new countries more eloquent than elsewhere,Hao Guang Tse,"surprised by ammonites

& other irrefutable
proofs of           humility                    on their heads

mtns of old
countries
skip                         like rams


if I am
neat

rams cannot stay here


the newness says so"
In the City of Eve,Majda Gama,"i

As a girl I followed my father to our rooftop,
up the narrow stairs, close to his white hem & dark slippers.
The iron steps rang with the striking of our feet.
He carried a telescope, the sky was clear, the moon
in eclipse. The shadow did not bloody
the surface, it smoked across the lunar terrain.
We often stood on the rooftop when the house
was newly built, saw dogs running in the distance
across the packed sand. I asked if they’d be safe;
he said they would look after each other. In
the time since, a thicket of jasmine formed along
the border of our marble yard & the air smelled sweet.

ii

I learned that the names of stars are in Arabic,
constant and loyal, like dogs:
Algol, Arrakis, Deneb, Rigel, Vega.
The skies turn sometimes. On a rooftop,
when sand is loosened from the desert,
it approaches like a red tide & cities drown.
In my time, the deployment of armies would disturb
the deep desert. My father took me to a dirt lot
near the execution square, put me on his shoulders,
and pointed to the ruins there. Do you see the grave of Eve?
The city turned. I have forgotten what I saw in the sand."
Influx—Reservation Lockdown,Max Early,"Turquoise skies blindfold horizon,
black sash-belt morning.

Half-filled coffee cup with cream.
Pool stick lingers by barstool.

Cascading stacks of eggshells
crackle on cedar in smoking firebox.

She pinches clay fingerbowls,
painted cloud designer dreams.

Albino Coyote’s ruling class
finger-points ’til arm goes numb.

Now arriving at Herbal Oshá Balms,
airplane touches down on stained glass.

Red-eye flight on Tiffany runway,
pilot shakes moccasin rattle.

Jingle dress dancers revive health
through aisles of canceled powwows.

Distant squash blossom phone calls
from shooting-star ribbon elders

wearing coral silver bead necklaces.
They string bows with damp sinew.

Dove plumes flutter on warm breeze,
a cellular prayer without towers.

He tosses cornhusks over bridge
by floating eagle carcass.

Waterfall trickles through driftwood
skeletons of cholla cactus.

Arroyo creek walls,
what stifles the laughter of an enemy?

Pottery shards crush to sand,
baby blanket sifts uranium bones.

Village of dayrise and sunfall
framed in field of tall wheat.

Windows of abandoned bodies
ladder electric ventilators.

His concealed rest departs the dweller."
Interrogation in a Nail Salon,Khải Đơn,"[How long have you been here?]

From the airplane window, she saw dragon’s eyes
floating to sheeny green mangrove feet
its scales a rainbow mirror
dancing light on her mother’s mud wall
Time found its way onto the skin of roofs
she wondered if home remembered
or how it sheltered on the
crumbling field.

[I don’t know your place. What does it look like?]

Her mother’s hair: the white river
Her eyes: the blurred pearls blinking
on heart-lace, staring plumy red nails
crafted waggling American flags

Mekong indulged infant cries, feeding
shining sesban flowers and bitter gourds
Children grew into wandering duckweeds,
intertwining themselves in laughter of joys

The sky was close from Forbidden Mountain
The Goddess sowed brown-eyed seeds
giant tamarind tree cuddled the clouds
little humans played hide-and-seek

A child slips into the mud mouth.

[Do you want to marry someone and get a Green Card?]

Her tiny nipples
wiped out
a flood of silence

Wedding grew thorns on
woven green coconut gate
burning purple on periwinkle blooms

Her body melted
flinching McDonald’s yellow sign
cloudy face powder, acetone, nail polish
Phở broth boiled down particles of her night.

[I know a man, good person, you can marry him.]

She saw herself in the mirror in the corner
toilet of the restaurant at midnight in the
chlorine cloud hallucinating her cracked
fingers. She hid her hands in the janitor
uniform pocket so that any man couldn’t see
how her face was fading into the storm of
keratin dust—spinning manicure drill.

[Don’t worry, nobody knows about your past here.]

Answer: Do you know a service to change bones?

Her past was carved in them
singing through rainy nights
flood season, weeping herons
The Plain of Reeds whined
through teeth mark of rice.

[Do you send a lot of money home?]

Her mother sighed.

[Why?]

A hostage of borders picked shards of memory
and called it home."
Katuq.1,Abigail Chabitnoy,"i

Move the dark one stroke
at a time.

Free / breast / key /
back /
one stroke
midnight
one cerebrovascular accident
later.

Everybody acquires enough
levity
without ground
underfoot

without falling
under.

The children play their string games.
See, the sun is caught.
See, ikauwiitiit qutmi et’ut.2

ii

There are those of us who might
survive this / still fish
in the sea / still enough single organisms
under radar.

It’s not a choice, nothing—we were born
to a rising sea, sapurluni.3

Look, those who see
in the dark /
light one step
at a time.

iii

My father gave me a book
so I wouldn’t die.

He knows more / he can tell
in a nuclear family /
survival is silent
and casts pale shadows.

It’s not that I haven’t learned
to hold my tongue—
It’s just
there are so many mouths—
It’s just
the breath is a fragile thing
to hold—
It’s just
they should speak while
I can—

Tamanta qutmi 4—

iv

We want to get through / in America /
naamacuarluci 5—
write poems with a pen
heavy as a bullet
the color of real money
the smell of blood / metal
to show you we are deadly
serious in our intentions
speaking as one of the participating
generation.

The current is strong / the boats have run
aground
the kayak is small
the waters getting high—

Every body acquires enough
buoyancy.

Kayunguq eh?,6 war-born children write
for rain to put out the fire.

We draw new lines
in the margins
empty our pockets of paper
gesture at the blaze
boast how we can make a fire
our bodies adapted to breathe
smoke.

We have need
to gather, see
Qutmi etciq’ukut.7"
Learning about Treaties in School,Jake Skeets,
